Code,Province,Cases,Deaths
CHN,China,81394,3295
CN-HU,Hubei,67800,3122
CN-GD,Guangdong,1370,8
CN-HA,Henan,1273,22
CN-ZJ,Zhejiang,1232,1
CN-HE,Hunan,1018,4
CN-AH,Anhui,990,6
CN-JX,Jiangxi,935,1
CN-SD,Shandong,761,7
CN-JS,Jiangsu,631,0
CN-CQ,Chongqing,576,6
CN-SC,Sichuan,540,3
CN-HL,Heilongjiang,483,13
CN-BJ,Beijing,479,8
CN-SH,Shanghai,363,3
CN-HE,Hebei,318,6
CN-FJ,Fujian,296,1
CN-GX,Guangxi,253,2
CN-SN,Shaanxi,246,3
CN-YN,Yunnan,176,2
CN-HI,Hainan,168,6
CN-GZ,Guizhou,146,2
CN-TJ,Tianjin,136,3
CN-GS,Gansu,133,2
CN-SX,Shanxi,133,0
CN-LN,Liaoning,125,1
CN-JL,Jilin,93,1
CN-XJ,Xinjiang,76,3
CN-NM,Neimenggu,75,1
CN-NX,Ningxia,75,0
CN-QH,Qinghai,18,0
CN-XZ,Xizang,1,0
