Code,Country,Cases,Deaths,Active,Recovered,Serious,FirstCase
,World,658206,30454,486333,141419,25248,1/10/2020
USA,USA,120204,1997,114978,3229,2666,1/20/2020
ITA,Italy,92472,10023,70065,12384,3856,1/29/2020
CHN,China,81394,3295,3128,74971,886,1/10/2020
ESP,Spain,72335,5820,54230,12285,4165,1/30/2020
DEU,Germany,57695,433,48781,8481,1581,1/26/2020
FRA,France,37575,2314,29561,5700,4273,1/23/2020
IRN,Iran,35408,2517,21212,11679,3206,2/18/2020
GBR,UK,17089,1019,15935,135,163,1/30/2020
CHE,Switzerland,14076,264,12282,1530,301,2/24/2020
NLD,Netherlands,9762,639,9120,3,761,2/26/2020
KOR,S Korea,9478,144,4523,4811,59,1/19/2020
BEL,Belgium,9134,353,7718,1063,789,2/3/2020
AUT,Austria,8188,68,7895,225,128,2/24/2020
TUR,Turkey,7402,108,7224,70,309,3/9/2020
CAN,Canada,5576,60,5162,354,120,1/24/2020
PRT,Portugal,5170,100,5027,43,89,3/1/2020
NOR,Norway,4012,23,3982,7,84,2/25/2020
BRA,Brazil,3904,111,3787,6,296,2/24/2020
AUS,Australia,3635,14,3451,170,23,1/24/2020
ISR,Israel,3619,12,3518,89,50,2/20/2020
SWE,Sweden,3447,105,3326,16,239,1/30/2020
CZE,Czechia,2541,11,2519,11,250,2/29/2020
IRL,Ireland,2415,36,2374,5,59,2/28/2020
MYS,Malaysia,2320,27,1973,320,54,1/24/2020
DNK,Denmark,2201,65,2135,1,109,2/26/2020
CHL,Chile,1909,6,1842,61,7,3/2/2020
LUX,Luxembourg,1831,18,1773,40,25,2/28/2020
ECU,Ecuador,1823,48,1772,3,58,2/28/2020
JPN,Japan,1693,52,1237,404,56,1/14/2020
POL,Poland,1638,18,1613,7,3,3/3/2020
PAK,Pakistan,1495,12,1454,29,7,2/25/2020
ROU,Romania,1452,34,1279,139,34,2/25/2020
RUS,Russia,1264,4,1211,49,8,1/30/2020
THA,Thailand,1245,6,1142,97,11,1/12/2020
SAU,Saudi Arabia,1203,4,1162,37,6,3/1/2020
ZAF,South Africa,1187,1,1155,31,7,3/4/2020
FIN,Finland,1167,9,1148,10,32,1/28/2020
IDN,Indonesia,1155,102,994,59,,3/1/2020
PHL,Philippines,1075,68,972,35,1,1/29/2020
GRC,Greece,1061,32,977,52,66,2/25/2020
IND,India,987,24,879,84,,1/29/2020
ISL,Iceland,963,2,847,114,18,2/27/2020
SGP,Singapore,802,2,602,198,19,1/22/2020
PAN,Panama,786,14,770,2,20,3/9/2020
DOM,Dominican Republic,719,28,688,3,,2/29/2020
MEX,Mexico,717,12,701,4,1,2/27/2020
,Diamond Princess,712,10,105,597,15,2/4/2020
ARG,Argentina,690,18,600,72,,3/2/2020
SVN,Slovenia,684,9,665,10,25,3/3/2020
PER,Peru,671,16,639,16,33,3/5/2020
SRB,Serbia,659,10,607,42,25,3/5/2020
HRV,Croatia,657,5,607,45,14,2/24/2020
EST,Estonia,645,1,624,20,10,2/26/2020
COL,Colombia,608,6,592,10,,3/5/2020
QAT,Qatar,590,1,544,45,6,2/28/2020
EGY,Egypt,576,36,419,121,,2/13/2020
HKG,Hong Kong,560,4,444,112,5,1/22/2020
IRQ,Iraq,506,42,333,131,,2/21/2020
BHR,Bahrain,476,4,207,265,1,2/23/2020
ARE,UAE,468,2,414,52,2,1/28/2020
DZA,Algeria,454,29,394,31,,2/24/2020
NZL,New Zealand,451,0,401,50,2,2/27/2020
LBN,Lebanon,412,8,374,30,4,2/20/2020
ARM,Armenia,407,1,376,30,6,2/29/2020
LTU,Lithuania,394,7,386,1,2,2/27/2020
MAR,Morocco,390,25,354,11,1,3/1/2020
UKR,Ukraine,356,9,342,5,,3/2/2020
HUN,Hungary,343,11,298,34,6,3/3/2020
BGR,Bulgaria,331,6,314,11,8,3/6/2020
AND,Andorra,308,3,304,1,10,3/1/2020
LVA,Latvia,305,0,304,1,3,3/1/2020
CRI,Costa Rica,295,2,290,3,6,3/4/2020
SVK,Slovakia,292,0,290,2,1,3/5/2020
TWN,Taiwan,283,2,251,30,,1/20/2020
URY,Uruguay,274,0,274,,8,3/12/2020
BIH,Bosnia and Herzegovina,258,5,248,5,1,3/4/2020
TUN,Tunisia,257,8,247,2,10,3/1/2020
JOR,Jordan,246,1,227,18,3,3/1/2020
MKD,North Macedonia,241,4,234,3,1,2/25/2020
KWT,Kuwait,235,0,171,64,11,2/23/2020
MDA,Moldova,231,2,227,2,33,3/6/2020
KAZ,Kazakhstan,228,1,211,16,,3/12/2020
