Code,Country,Deaths_1980,Deaths_1990,Deaths_2000,Deaths_2010
BFA,Burkina Faso,12147,18191,38543,40730
MOZ,Mozambique,30952,43596,70342,52189
MLI,Mali,20715,23899,38161,39283
CAF,Central African Republic,3483,5955,11753,8713
LBR,Liberia,2854,3817,7598,7635
NGA,Nigeria,158270,232910,384292,380642
SLE,Sierra Leone,7545,9864,17911,12343
COD,"Congo, Dem Rep",41440,81669,152316,107550
GNB,Guinea-Bissau,2211,2642,2984,3619
CIV,Côte d’Ivoire,9650,17921,31514,31664
BDI,Burundi,7988,15227,25617,16262
BEN,Benin,6278,8061,12047,14415
GIN,Guinea,10537,13930,23436,19506
TGO,Togo,4117,5321,7021,8216
NER,Niger,8677,11916,19953,30412
ZMB,Zambia,6725,16632,34859,18070
GAB,Gabon,475,1259,1959,1352
UGA,Uganda,15949,30919,65581,41648
GNQ,Equatorial Guinea,300,817,1214,741
MDG,Madagascar,2885,6066,8992,16160
RWA,Rwanda,5561,11066,16970,10962
COG,Congo,2105,3961,7482,4112
CA-PE,Sao Tome and Principe,95,120,144,155
CMR,Cameroon,10669,14627,34685,23181
SOM,Somalia,6557,13297,21990,17321
GHA,Ghana,12734,18106,23365,22624
SEN,Senegal,4888,8029,15125,10150
GMB,Gambia,754,1111,1631,2256
TCD,Chad,5636,7125,13324,14513
TZA,Tanzania,31175,68134,92403,44430
AGO,Angola,6853,9947,20599,14514
MWI,Malawi,6089,18470,15966,13953
KEN,Kenya,9821,27790,45740,27165
ZWE,Zimbabwe,1561,2429,8810,6055
,Comoros,240,353,760,440
ERI,Eritrea,1773,1977,3231,2847
MMR,Burma,69928,47738,38411,21995
ETH,Ethiopia,22485,56869,87163,47507
MRT,Mauritania,496,659,1403,1495
SDN,Sudan,9445,17219,31764,17323
TLS,Timor-Leste,930,771,626,310
PNG,Papua New Guinea,2641,2565,2412,1722
CHE,Swaziland,82,288,574,296
YEM,Yemen,2490,3297,7027,5603
NAM,Namibia,131,175,436,466
DJI,Djibouti,24,69,213,180
BWA,Botswana,72,91,406,292
SLB,Solomon Islands,132,105,83,62
KHM,Cambodia,11610,11656,6644,1795
LAO,Laos,2929,2404,1461,634
HTI,Haiti,1919,1468,1359,761
AFG,Afghanistan,14931,10261,10235,2870
IND,India,239775,157211,112109,46970
IDN,Indonesia,80142,34699,21132,10925
NPL,Nepal,2806,2079,1238,712
PAK,Pakistan,12357,8862,7435,4250
BGD,Bangladesh,23177,13924,7062,3370
GUY,Guyana,41,32,30,14
VUT,Vanuatu,16,9,7,4
BTN,Bhutan,153,91,37,11
BLZ,Belize,8,6,5,3
ZAF,South Africa,210,279,1324,606
VNM,Vietnam,22133,16707,8972,1108
SUR,Suriname,10,10,15,3
PHL,Philippines,1179,768,463,262
THA,Thailand,5264,2324,1000,327
BOL,Bolivia,211,156,58,26
GTM,Guatemala,410,218,83,39
NIC,Nicaragua,140,54,23,12
HND,Honduras,45,24,17,12
TJK,Tajikistan,34,29,26,13
COL,Colombia,399,197,129,54
DOM,Dominican Republic,26,15,11,9
ECU,Ecuador,107,83,59,15
MYS,Malaysia,206,99,46,21
LKA,Sri Lanka,121,49,61,25
ARG,Argentina,71,17,4,1
AZE,Azerbaijan,20,5,1,0
BRA,Brazil,955,817,245,117
CHN,China,331,157,159,58
CRI,Costa Rica,3,1,0,0
SLV,El Salvador,19,3,1,0
GEO,Georgia,15,4,1,0
IRN,Iran,35,25,14,5
IRQ,Iraq,36,8,2,1
KGZ,Kyrgyzstan,15,3,1,0
MEX,Mexico,200,37,8,2
PRK,"Korea, North",35,9,3,1
PAN,Panama,7,5,4,2
PRY,Paraguay,7,2,0,0
PER,Peru,71,49,26,8
SAU,Saudi Arabia,27,11,7,4
KOR,"Korea, South",82,18,4,1
TUR,Turkey,169,32,7,1
UZB,Uzbekistan,57,14,4,1
VEN,Venezuela,23,42,29,19
