Code,Province,Population_2010,Population_2000,Population_1990,Population_1982,Population_1964,Population_1954,Population_1947,Population_1937,Population_1928,Population_1912
,Mainland China,1339724852,1265830000,1160017381,1031882511,723070269,601938035,457111000,479085000,474786000,411643000
CN-GD,Guangdong,104303132,85225007,62829236,59299220,42800849,34770059,27210000,32453000,32428000,28011000
CN-SD,Shandong,100063065,89971789,84392827,74419054,55519038,48876548,38865000,38100000,28672000,30989000
CN-HE,Henan,94023567,91236854,85509535,74422739,50325511,44214594,29654000,34290000,30566000,28518000
CN-SC,Sichuan,80418200,82348296,107218173,99713310,67956490,62303999,47437000,52706000,47992000,48130000
CN-JS,Jiangsu,78659903,73043577,67056519,60521114,44504608,41252192,36080000,36469000,34126000,32283000
CN-HB,Hebei,71854202,66684419,61082439,53005876,45687781,35984644,28719000,28644000,31232000,26658000
CN-HN,Hunan,65683722,63274173,60659754,54008851,37182286,33226954,25558000,28294000,31501000,27617000
CN-AH,Anhui,59500510,58999948,56180813,49665724,31241657,30343637,22462000,23354000,21715000,16229000
CN-HU,Hubei,57237740,59508870,53969210,47804150,33709344,27789693,20976000,25516000,26699000,29590000
CN-ZJ,Zhejiang,54426891,45930651,41445930,38884603,28318573,22865747,19959000,21231000,20643000,21440000
CN-GX,Guangxi,46026629,43854538,42245765,36420960,20845017,19560822,14636000,13385000,13648000,7879000
CN-YN,Yunnan,45966239,42360089,36972610,32553817,20509525,17472737,9066000,12042000,13821000,9468000
CN-JX,Jiangxi,44567475,40397598,37710281,33184827,21068019,16772865,12507000,15805000,20323000,23988000
CN-LN,Liaoning,43746323,41824412,39459697,35721693,26946200,18545147,10007000,15254000,15233000,12133000
CN-HL,Heilongjiang,38312224,36237576,35214873,32665546,20118271,11897309,2844000,3751000,3725000,2029000
CN-SA,Shaanxi,37327378,35365072,32882403,28904423,20766915,15881281,10011000,9780000,11802000,9364000
CN-SX,Shanxi,37022111,32471242,28759014,25291389,18015067,14314485,15247000,11601000,12228000,10082000
CN-FJ,Fujian,36894216,34097947,30097274,25931106,16757223,13142721,11143000,11756000,10071000,15849000
CN-GZ,Guizhou,35806468,35247695,32391066,28552997,17140521,15037310,10174000,9919000,14746000,9665000
CN-CQ,Chongqing,28846170,30512763,,,,,986000,,,
CN-JL,Jilin,27462297,26802191,24658721,22560053,15668663,11290073,6465000,7354000,7635000,5580000
CN-GS,Gansu,25575254,25124282,22371141,19569261,12630569,12928102,7091000,6716000,6281000,4990000
CN-NM,Inner Mongolia,24706321,23323347,21456798,19274279,12348638,6100104,,,,
TWN,Taiwan - ROC,23162123,22276672,20401305,18515754,13348096,9311312,5872084,4592537,3955308,3039751
CN-SH,Shanghai,23019148,16407734,13341896,11859748,10816458,6204417,4630000,3727000,,
CN-XJ,Xinjiang,21813334,18459511,15155778,13081681,7270067,4873608,4047000,4360000,2552000,2098000
CN-BJ,Beijing,19612368,13569194,10819407,9230687,7568495,2768149,1722000,1551000,,
CN-TJ,Tianjin,12938224,9848731,8785402,7764141,,2693831,1773000,1218000,,
CN-HA,Hainan,9261518,7559035,6557482,,,,,,,
CN-HK,Hong Kong,7061200,6708389,5752000,5183400,3128648,2070000,600000,1640000,840473,456739
CN-NX,Ningxia,6176900,5486393,4655451,3895578,,,759000,978000,1450000,303000
CN-QH,Qinghai,5626722,4822963,4456946,3895706,2145604,1676534,1308000,1196000,619000,368000
,Tibet,3002166,2616329,2196010,1892393,1251225,1273969,1000000,372000,372000,1160000
,Mongolia,2760968,2432397,2043954,1595000,1017100,845481,759100,738200,616000,340000
,Macau,552503,435235,355693,261806,248636,169299,187772,245194,83984,74866
,Rehe,,,,,,5160822,6197000,2185000,6593000,4630000
,Xikang,,,,,,3381064,1697000,968000,890000,
,Qahar,,,,,,,2186000,2036000,1997000,1622000
,Suiyuan,,,,,,,2233000,2084000,2124000,630000
,Nanjing,,,,,,,1114000,1019000,,
,Qingdao,,,,,,,851000,515000,,
,Xi'an,,,,,,,628000,206000,,
,Dongsheng,,,,,,,,680000,,
,Weihai,,,,,,,,222000,,
,Liaodong,,,,,,,2992000,,,
,Liaobei,,,,,,,4629000,,,
,Songjiang,,,,,,,2571000,,,
,Hejiang,,,,,,,1841000,,,
,Nenjiang,,,,,,,3333000,,,
,Xing'an,,,,,,,328000,,,
,Guangzhou,,,,,,,1128000,,,
,Wuhan,,,,,,,722000,,,
,Shenyang,,,,,,,1021000,,,
,Dalian,,,,,,,544000,,,
,Harbin,,,,,,,760000,,,
